date,jackpot
2013-01-12,2000000
2013-01-16,3500000
2013-01-19,3700000
2013-01-23,4100000
2013-01-26,4700000
2013-01-30,5400000
2013-02-02,6100000
2013-02-06,7000000
2013-02-09,7700000
2013-02-13,8600000
2013-02-16,9400000
2013-02-20,10300000
2013-02-23,11200000
2013-02-27,12100000
2013-03-02,13100000
2013-03-06,13800000
2013-03-09,14500000
2013-03-13,15500000
2013-03-16,16200000
2013-03-20,17200000
2013-03-23,18300000
2013-03-27,19300000
2013-03-30,20400000
2013-04-03,21300000
2013-04-06,22600000
2013-04-10,23300000
2013-04-13,24400000
2013-04-17,25200000
2013-04-20,26200000
2013-04-24,27200000
2013-04-27,28600000
2013-05-01,29700000
2013-05-04,31000000
2013-05-08,32500000
2013-05-11,1500000
2013-05-15,2200000
2013-05-18,3000000
2013-05-22,3800000
2013-05-25,4600000
2013-05-29,5400000
2013-06-01,6400000
2013-06-05,7000000
2013-06-08,7900000
2013-06-12,8600000
2013-06-15,9400000
2013-06-19,10400000
2013-06-22,11000000
2013-06-26,11800000
2013-06-29,12700000
2013-07-03,13600000
2013-07-06,14400000
2013-07-10,15300000
2013-07-13,16100000
2013-07-17,17000000
2013-07-20,18000000
2013-07-24,18800000
2013-07-27,19700000
2013-07-31,20600000
2013-08-03,21500000
2013-08-07,22400000
2013-08-10,1500000
2013-08-14,2200000
2013-08-17,2900000
2013-08-21,3600000
2013-08-24,4300000
2013-08-28,5000000
2013-08-31,5800000
2013-09-04,6500000
2013-09-07,7300000
2013-09-11,8000000
2013-09-14,8800000
2013-09-18,9800000
2013-09-21,10300000
2013-09-25,11300000
2013-09-28,12100000
2013-10-02,13000000
2013-10-05,14000000
2013-10-09,14900000
2013-10-12,15800000
2013-10-16,17000000
2013-10-19,17800000
2013-10-23,18900000
2013-10-26,20000000
2013-10-30,21100000
2013-11-02,22500000
2013-11-06,23700000
2013-11-09,25000000
2013-11-13,26500000
2013-11-16,28000000
2013-11-20,29500000
2013-11-23,30800000
2013-11-27,32500000
2013-11-30,34300000
2013-12-04,1500000
2013-12-07,2400000
2013-12-11,3100000
2013-12-14,3900000
2013-12-18,4700000
2013-12-21,5600000
2013-12-25,6200000
2013-12-28,7100000
2014-01-01,8000000
2014-01-04,8900000
2014-01-08,9700000
2014-01-11,10600000
2014-01-15,11600000
2014-01-18,12600000
2014-01-22,1500000
2014-01-25,2200000
2014-01-29,3000000
2014-02-01,3700000
2014-02-05,4600000
2014-02-08,5100000
2014-02-12,6100000
2014-02-15,1500000
2014-02-19,2100000
2014-02-22,2800000
2014-02-26,3500000
2014-03-01,4200000
2014-03-05,1500000
2014-03-08,2200000
2014-03-12,3000000
2014-03-15,3600000
