type,number,date
normal,6,2013-01-12
normal,8,2013-01-12
normal,9,2013-01-12
normal,12,2013-01-12
normal,28,2013-01-12
normal,30,2013-01-12
lucky,4,2013-01-12
replay,2,2013-01-12
normal,8,2013-01-16
normal,9,2013-01-16
normal,10,2013-01-16
normal,29,2013-01-16
normal,39,2013-01-16
normal,40,2013-01-16
lucky,4,2013-01-16
replay,10,2013-01-16
normal,2,2013-01-19
normal,17,2013-01-19
normal,21,2013-01-19
normal,23,2013-01-19
normal,33,2013-01-19
normal,35,2013-01-19
lucky,6,2013-01-19
replay,13,2013-01-19
normal,5,2013-01-23
normal,12,2013-01-23
normal,22,2013-01-23
normal,23,2013-01-23
normal,27,2013-01-23
normal,40,2013-01-23
lucky,2,2013-01-23
replay,12,2013-01-23
normal,4,2013-01-26
normal,7,2013-01-26
normal,9,2013-01-26
normal,27,2013-01-26
normal,29,2013-01-26
normal,34,2013-01-26
lucky,3,2013-01-26
replay,9,2013-01-26
normal,3,2013-01-30
normal,6,2013-01-30
normal,10,2013-01-30
normal,16,2013-01-30
normal,24,2013-01-30
normal,25,2013-01-30
lucky,3,2013-01-30
replay,11,2013-01-30
normal,12,2013-02-02
normal,15,2013-02-02
normal,21,2013-02-02
normal,33,2013-02-02
normal,34,2013-02-02
normal,41,2013-02-02
lucky,5,2013-02-02
replay,7,2013-02-02
normal,4,2013-02-06
normal,6,2013-02-06
normal,26,2013-02-06
normal,36,2013-02-06
normal,37,2013-02-06
normal,39,2013-02-06
lucky,5,2013-02-06
replay,1,2013-02-06
normal,2,2013-02-09
normal,11,2013-02-09
normal,12,2013-02-09
normal,13,2013-02-09
normal,30,2013-02-09
normal,38,2013-02-09
lucky,3,2013-02-09
replay,2,2013-02-09
normal,13,2013-02-13
normal,21,2013-02-13
normal,25,2013-02-13
normal,26,2013-02-13
normal,32,2013-02-13
normal,40,2013-02-13
lucky,1,2013-02-13
replay,13,2013-02-13
normal,11,2013-02-16
normal,12,2013-02-16
normal,21,2013-02-16
normal,22,2013-02-16
normal,25,2013-02-16
normal,33,2013-02-16
lucky,3,2013-02-16
replay,13,2013-02-16
normal,4,2013-02-20
normal,16,2013-02-20
normal,20,2013-02-20
normal,30,2013-02-20
normal,34,2013-02-20
normal,35,2013-02-20
lucky,1,2013-02-20
replay,7,2013-02-20
normal,15,2013-02-23
normal,17,2013-02-23
normal,25,2013-02-23
normal,28,2013-02-23
normal,36,2013-02-23
normal,39,2013-02-23
lucky,4,2013-02-23
replay,6,2013-02-23
normal,11,2013-02-27
normal,17,2013-02-27
normal,21,2013-02-27
normal,23,2013-02-27
normal,34,2013-02-27
normal,39,2013-02-27
lucky,1,2013-02-27
replay,5,2013-02-27
normal,6,2013-03-02
normal,18,2013-03-02
normal,22,2013-03-02
normal,28,2013-03-02
normal,32,2013-03-02
normal,33,2013-03-02
lucky,2,2013-03-02
replay,4,2013-03-02
normal,2,2013-03-06
normal,4,2013-03-06
normal,11,2013-03-06
normal,18,2013-03-06
normal,20,2013-03-06
normal,33,2013-03-06
lucky,5,2013-03-06
replay,12,2013-03-06
normal,3,2013-03-09
normal,13,2013-03-09
normal,26,2013-03-09
normal,27,2013-03-09
normal,33,2013-03-09
normal,40,2013-03-09
lucky,2,2013-03-09
replay,3,2013-03-09
normal,3,2013-03-13
normal,15,2013-03-13
normal,18,2013-03-13
normal,20,2013-03-13
normal,25,2013-03-13
normal,38,2013-03-13
lucky,2,2013-03-13
replay,8,2013-03-13
normal,8,2013-03-16
normal,19,2013-03-16
normal,22,2013-03-16
normal,29,2013-03-16
normal,31,2013-03-16
normal,34,2013-03-16
lucky,4,2013-03-16
replay,2,2013-03-16
normal,12,2013-03-20
normal,19,2013-03-20
normal,21,2013-03-20
normal,32,2013-03-20
normal,36,2013-03-20
normal,41,2013-03-20
lucky,6,2013-03-20
replay,12,2013-03-20
normal,1,2013-03-23
normal,9,2013-03-23
normal,10,2013-03-23
normal,11,2013-03-23
normal,34,2013-03-23
normal,42,2013-03-23
lucky,5,2013-03-23
replay,1,2013-03-23
normal,10,2013-03-27
normal,18,2013-03-27
normal,21,2013-03-27
normal,23,2013-03-27
normal,34,2013-03-27
normal,36,2013-03-27
lucky,1,2013-03-27
replay,9,2013-03-27
normal,7,2013-03-30
normal,11,2013-03-30
normal,17,2013-03-30
normal,23,2013-03-30
normal,27,2013-03-30
normal,39,2013-03-30
lucky,3,2013-03-30
replay,2,2013-03-30
normal,10,2013-04-03
normal,11,2013-04-03
normal,13,2013-04-03
normal,34,2013-04-03
normal,39,2013-04-03
normal,41,2013-04-03
lucky,4,2013-04-03
replay,3,2013-04-03
normal,18,2013-04-06
normal,21,2013-04-06
normal,24,2013-04-06
normal,30,2013-04-06
normal,31,2013-04-06
normal,34,2013-04-06
lucky,6,2013-04-06
replay,5,2013-04-06
normal,3,2013-04-10
normal,6,2013-04-10
normal,24,2013-04-10
normal,32,2013-04-10
normal,38,2013-04-10
normal,39,2013-04-10
lucky,6,2013-04-10
replay,11,2013-04-10
normal,1,2013-04-13
normal,2,2013-04-13
normal,9,2013-04-13
normal,21,2013-04-13
normal,22,2013-04-13
normal,26,2013-04-13
lucky,6,2013-04-13
replay,4,2013-04-13
normal,11,2013-04-17
normal,28,2013-04-17
normal,33,2013-04-17
normal,35,2013-04-17
normal,36,2013-04-17
normal,42,2013-04-17
lucky,6,2013-04-17
replay,5,2013-04-17
normal,5,2013-04-20
normal,11,2013-04-20
normal,21,2013-04-20
normal,22,2013-04-20
normal,27,2013-04-20
normal,32,2013-04-20
lucky,6,2013-04-20
replay,11,2013-04-20
normal,4,2013-04-24
normal,6,2013-04-24
normal,7,2013-04-24
normal,21,2013-04-24
normal,26,2013-04-24
normal,39,2013-04-24
lucky,6,2013-04-24
replay,2,2013-04-24
normal,1,2013-04-27
normal,3,2013-04-27
normal,7,2013-04-27
