combination,winners,prize,date
6 + 1,0,0,2013-01-12
6,1,1000000,2013-01-12
5 + 1,12,6185.05,2013-01-12
5,83,1000,2013-01-12
4 + 1,645,149.8,2013-01-12
4,3489,69.15,2013-01-12
3 + 1,9174,26.55,2013-01-12
3,51531,9.45,2013-01-12
6 + 1,0,0,2013-01-16
6,1,1000000,2013-01-16
5 + 1,7,5896.4,2013-01-16
5,35,1000,2013-01-16
4 + 1,340,158,2013-01-16
4,1715,78.2,2013-01-16
3 + 1,5005,27.1,2013-01-16
3,28740,9.4,2013-01-16
6 + 1,0,0,2013-01-19
6,0,0,2013-01-19
5 + 1,9,5584.05,2013-01-19
5,82,1000,2013-01-19
4 + 1,432,151.45,2013-01-19
4,2729,59.85,2013-01-19
3 + 1,5810,28.4,2013-01-19
3,37647,8.75,2013-01-19
6 + 1,0,0,2013-01-23
6,1,1000000,2013-01-23
5 + 1,7,5910.4,2013-01-23
5,37,1000,2013-01-23
4 + 1,403,133.65,2013-01-23
4,1889,71.2,2013-01-23
3 + 1,6326,21.5,2013-01-23
3,28687,9.45,2013-01-23
6 + 1,0,0,2013-01-26
6,0,0,2013-01-26
5 + 1,15,3515.45,2013-01-26
5,73,1000,2013-01-26
4 + 1,754,91.05,2013-01-26
4,2642,64.85,2013-01-26
3 + 1,10718,16.15,2013-01-26
3,37402,9.25,2013-01-26
6 + 1,0,0,2013-01-30
6,0,0,2013-01-30
5 + 1,12,3568.6,2013-01-30
5,42,1000,2013-01-30
4 + 1,560,99.55,2013-01-30
4,1897,73.35,2013-01-30
3 + 1,7623,18.45,2013-01-30
3,27016,10.4,2013-01-30
6 + 1,0,0,2013-02-02
6,0,0,2013-02-02
5 + 1,10,5389.35,2013-02-02
5,35,1000,2013-02-02
4 + 1,560,125.3,2013-02-02
4,2380,73.6,2013-02-02
3 + 1,8531,20.75,2013-02-02
3,36228,9.75,2013-02-02
6 + 1,0,0,2013-02-06
6,0,0,2013-02-06
5 + 1,3,14455.85,2013-02-06
5,22,1000,2013-02-06
4 + 1,260,217.15,2013-02-06
4,1437,98.1,2013-02-06
3 + 1,4512,31.55,2013-02-06
3,23709,12,2013-02-06
6 + 1,0,0,2013-02-09
6,0,0,2013-02-09
5 + 1,7,7788.95,2013-02-09
5,33,1000,2013-02-09
4 + 1,449,158.05,2013-02-09
4,1925,92.05,2013-02-09
3 + 1,7687,23.3,2013-02-09
3,30968,11.55,2013-02-09
6 + 1,0,0,2013-02-13
6,0,0,2013-02-13
5 + 1,6,7570.15,2013-02-13
5,36,1000,2013-02-13
4 + 1,283,208.9,2013-02-13
4,1690,87.35,2013-02-13
3 + 1,4681,31.85,2013-02-13
3,28264,10.55,2013-02-13
6 + 1,0,0,2013-02-16
6,0,0,2013-02-16
5 + 1,12,4605.7,2013-02-16
5,55,1000,2013-02-16
4 + 1,722,99.65,2013-02-16
4,2565,70.05,2013-02-16
3 + 1,10483,17.3,2013-02-16
3,39313,9.2,2013-02-16
6 + 1,0,0,2013-02-20
6,0,0,2013-02-20
5 + 1,9,5365.85,2013-02-20
5,56,1000,2013-02-20
4 + 1,331,189.9,2013-02-20
4,2012,78,2013-02-20
3 + 1,4846,32.75,2013-02-20
3,30459,10.4,2013-02-20
6 + 1,0,0,2013-02-23
6,2,500000,2013-02-23
5 + 1,18,3416.6,2013-02-23
5,107,1000,2013-02-23
4 + 1,589,135.9,2013-02-23
4,3130,63.85,2013-02-23
3 + 1,7546,26.75,2013-02-23
3,40883,9.85,2013-02-23
6 + 1,0,0,2013-02-27
6,1,1000000,2013-02-27
5 + 1,9,5657.35,2013-02-27
5,85,1000,2013-02-27
4 + 1,416,159.3,2013-02-27
4,2871,57.65,2013-02-27
3 + 1,6296,26.55,2013-02-27
3,39616,8.45,2013-02-27
6 + 1,0,0,2013-03-02
6,1,1000000,2013-03-02
5 + 1,7,9068.2,2013-03-02
